time,received,sent,multicast
2024-11-15 13:01:22,11.168682,0,0
2024-11-15 13:01:21,8.794805,0,0
2024-11-15 13:01:20,2.867351,0,0
2024-11-15 13:01:19,2.265253,0,0
2024-11-15 13:01:18,0,0,0
2024-11-15 13:01:17,0,0,0
2024-11-15 13:01:16,0,0,0
2024-11-15 13:01:15,0,0,0
2024-11-15 13:01:14,1.3011395,0,0
2024-11-15 13:01:13,3.000031,-0.4337235,0
2024-11-15 13:01:12,2.566381,-0.5662765,0
2024-11-15 13:01:11,2.000131,0,0
2024-11-15 13:01:10,2.000001,0,0
2024-11-15 13:01:09,1.1323177,0,0
2024-11-15 13:01:08,0.4338657,0,0
2024-11-15 13:01:07,2.301519,0,0
2024-11-15 13:01:06,4.433633,0,0
2024-11-15 13:01:05,6.735405,-0.4338248,0
2024-11-15 13:01:04,6.830995,-0.5661752,0
2024-11-15 13:01:03,4.000122,0,0
2024-11-15 13:01:02,3.566166,0,0
2024-11-15 13:01:01,2.999896,-0.4338675,0
2024-11-15 13:01:00,2.566164,-0.5661325,0
2024-11-15 13:00:59,2.00008,-0.4339231,0
2024-11-15 13:00:58,1.5659729,-0.999896,0
2024-11-15 13:00:57,0.9999239,-0.5661809,0
2024-11-15 13:00:56,1.0000084,0,0
2024-11-15 13:00:55,0.5662486,0,0
2024-11-15 13:00:54,0.4338191,-0.4338191,0
2024-11-15 13:00:53,0.5661809,-0.5661809,0
2024-11-15 13:00:52,0,0,0
2024-11-15 13:00:51,0,0,0
2024-11-15 13:00:50,0,0,0
2024-11-15 13:00:49,0,-1.301139,0
2024-11-15 13:00:48,0.4337264,-2.132587,0
2024-11-15 13:00:47,0.5662736,-0.5662736,0
2024-11-15 13:00:46,0,0,0
2024-11-15 13:00:45,0,0,0
2024-11-15 13:00:44,0,0,0
2024-11-15 13:00:43,0,-0.4337125,0
2024-11-15 13:00:42,0,-0.5662875,0
2024-11-15 13:00:41,0,0,0
2024-11-15 13:00:40,0,0,0
2024-11-15 13:00:39,0,0,0
2024-11-15 13:00:38,0,0,0
2024-11-15 13:00:37,0,0,0
2024-11-15 13:00:36,0,0,0
2024-11-15 13:00:35,0,-0.4337668,0
2024-11-15 13:00:34,0,-0.5662332,0
2024-11-15 13:00:33,0,0,0
2024-11-15 13:00:32,0,0,0
2024-11-15 13:00:31,0,-0.4338124,0
2024-11-15 13:00:30,0,-0.5661876,0
2024-11-15 13:00:29,0,0,0
2024-11-15 13:00:28,0,-0.4337863,0
2024-11-15 13:00:27,0,-0.9999983,0
2024-11-15 13:00:26,1.3014211,-0.5662154,0
2024-11-15 13:00:25,4.301352,-0.867591,0
2024-11-15 13:00:24,3.397227,-1.132409,0
2024-11-15 13:00:23,0,0,0
2024-11-15 13:00:22,0,0,0
2024-11-15 13:00:21,0,0,0
2024-11-15 13:00:20,0,0,0
2024-11-15 13:00:19,0,0,0
2024-11-15 13:00:18,0,0,0
2024-11-15 13:00:17,0,0,0
2024-11-15 13:00:16,0,0,0
2024-11-15 13:00:15,0,0,0
2024-11-15 13:00:14,0,0,0
2024-11-15 13:00:13,0,0,0
2024-11-15 13:00:12,0,0,0
2024-11-15 13:00:11,0,-0.4337152,0
2024-11-15 13:00:10,0,-0.5662848,0
2024-11-15 13:00:09,0,0,0
2024-11-15 13:00:08,0,0,0
2024-11-15 13:00:07,0,0,0
2024-11-15 13:00:06,0.4337447,-0.4337447,0
2024-11-15 13:00:05,0.5662553,-0.5662553,0
2024-11-15 13:00:04,0,0,0
2024-11-15 13:00:03,0,-0.4339023,0
2024-11-15 13:00:02,0,-0.5660977,0
2024-11-15 13:00:01,0.4338522,-0.4338522,0
2024-11-15 13:00:00,0.5661478,-0.5661478,0
2024-11-15 12:59:59,0,-0.4337218,0
2024-11-15 12:59:58,0,-0.5662782,0
2024-11-15 12:59:57,0,-0.4337132,0
2024-11-15 12:59:56,0,-1.0000067,0
2024-11-15 12:59:55,0,-0.5662801,0
2024-11-15 12:59:54,0,0,0
2024-11-15 12:59:53,0,0,0
2024-11-15 12:59:52,0,0,0
2024-11-15 12:59:51,0,0,0
2024-11-15 12:59:50,0,0,0
2024-11-15 12:59:49,0,-1.3012699,0
2024-11-15 12:59:48,0,-1.69873,0
2024-11-15 12:59:47,0,0,0
2024-11-15 12:59:46,0,0,0
2024-11-15 12:59:45,0,0,0
2024-11-15 12:59:44,0,0,0
2024-11-15 12:59:43,0,0,0
2024-11-15 12:59:42,0,0,0
2024-11-15 12:59:41,0,0,0
2024-11-15 12:59:40,0,0,0
2024-11-15 12:59:39,0,0,0
2024-11-15 12:59:38,0,0,0
2024-11-15 12:59:37,0,0,0
2024-11-15 12:59:36,0,0,0
2024-11-15 12:59:35,0,0,0
2024-11-15 12:59:34,0,0,0
2024-11-15 12:59:33,0,0,0
2024-11-15 12:59:32,0,0,0
2024-11-15 12:59:31,0,0,0
2024-11-15 12:59:30,0,0,0
2024-11-15 12:59:29,0,0,0
2024-11-15 12:59:28,0,0,0
2024-11-15 12:59:27,0,0,0
2024-11-15 12:59:26,0,-0.4337879,0
2024-11-15 12:59:25,0,-0.5662121,0
2024-11-15 12:59:24,0,0,0
2024-11-15 12:59:23,0,0,0
2024-11-15 12:59:22,0,0,0
2024-11-15 12:59:21,0.4338082,-0.4338082,0
2024-11-15 12:59:20,0.5661918,-0.5661918,0
2024-11-15 12:59:19,0,0,0
2024-11-15 12:59:18,0,-0.4337836,0
2024-11-15 12:59:17,0,-0.5662164,0
2024-11-15 12:59:16,0.4337983,-0.4337983,0
2024-11-15 12:59:15,0.5662017,-0.5662017,0
2024-11-15 12:59:14,0,0,0
2024-11-15 12:59:13,0,-0.4338312,0
2024-11-15 12:59:12,0,-0.5661688,0
2024-11-15 12:59:11,0,-0.4338153,0
2024-11-15 12:59:10,0,-1.0000486,0
2024-11-15 12:59:09,0,-0.5661362,0
2024-11-15 12:59:08,0,0,0
2024-11-15 12:59:07,0,0,0
2024-11-15 12:59:06,0,0,0
2024-11-15 12:59:05,0,0,0
2024-11-15 12:59:04,0,0,0
2024-11-15 12:59:03,0,0,0
2024-11-15 12:59:02,0,0,0
2024-11-15 12:59:01,0,0,0
2024-11-15 12:59:00,0,0,0
2024-11-15 12:58:59,0,0,0
2024-11-15 12:58:58,0,0,0
2024-11-15 12:58:57,0,0,0
2024-11-15 12:58:56,0,-0.4337291,0
2024-11-15 12:58:55,0.4336965,-0.5662709,0
2024-11-15 12:58:54,4.035964,-0.8674152,0
