time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2024-11-15 13:01:22,0,0,0,0,0,0.0626566,0.1253133,0.0626566,0
2024-11-15 13:01:21,0,0,0,0,0,0,0,0.1253918,0
2024-11-15 13:01:20,0,0,0,0,0,0.3754693,0.2503129,0.1251564,0
2024-11-15 13:01:19,0,0,0,0,0,0.3125,0.1875,0.1875,0
2024-11-15 13:01:18,0,0,0,0,0,0.1877347,0.1877347,0.1251564,0
2024-11-15 13:01:17,0,0,0,0,0,0.1253133,0.1879699,0.1253133,0
2024-11-15 13:01:16,0,0,0,0,0,0.0626959,0.0626959,0.1253918,0
2024-11-15 13:01:15,0,0,0,0,0,0.1251564,0.1251564,0.1251564,0
2024-11-15 13:01:14,0,0,0,0,0,0.0626174,0.2504696,0.0626174,0
2024-11-15 13:01:13,0,0,0,0,0,0.2512563,0.1884422,0.3140704,0
2024-11-15 13:01:12,0,0,0,0.1260239,0,1.0081916,0.4410838,0.1260239,0
2024-11-15 13:01:11,0,0,0,0.0632111,0,0.5689001,0.6321113,0.1264223,0
2024-11-15 13:01:10,0,0,0,0.0634115,0,0.3804692,0.3804692,0.2536462,0
2024-11-15 13:01:09,0,0,0,0,0,2.78129,0.2528445,0.1264223,0
2024-11-15 13:01:08,0,0,0,0.1259446,0,0.9445844,0.3778338,0.2518892,0
2024-11-15 13:01:07,0,0,0,0.0631712,0,1.0107391,0.6317119,0.1895136,0
2024-11-15 13:01:06,0,0,0,0.0630915,0,0.5047319,0.5047319,0.126183,0.0630915
2024-11-15 13:01:05,0,0,0,0.0633714,0,0.6337136,0.4435995,0.0633714,0
2024-11-15 13:01:04,0,0,0,0.0633714,0,0.6337136,0.3802281,0.2534854,0
2024-11-15 13:01:03,0,0,0,0,0,0.5066498,0.6966434,0.1266624,0
2024-11-15 13:01:02,0,0,0,0.1262626,0,0.6313131,0.5050505,0.1262626,0
2024-11-15 13:01:01,0,0,0,0,0,0.317864,0.2542912,0.1271456,0
2024-11-15 13:01:00,0,0,0,0.126183,0,0.6309148,0.5047319,0.1892744,0
2024-11-15 13:00:59,0,0,0,0.1263424,0,0.5685407,0.3790272,0.1895136,0
2024-11-15 13:00:58,0,0,0,0.1263424,0,0.5053696,0.5053696,0.1895136,0
2024-11-15 13:00:57,0,0,0,0,0,0.5060089,0.6325111,0.1897533,0
2024-11-15 13:00:56,0,0,0,0,0,0.505689,0.3792668,0.2528445,0
2024-11-15 13:00:55,0,0,0,0.1269841,0,0.5714286,0.3174603,0.0634921,0
2024-11-15 13:00:54,0,0,0,0.0634518,0,0.3172589,0.3807107,0.1269036,0
2024-11-15 13:00:53,0,0,0,0.1267427,0,1.5842839,0.5069708,0.1267427,0
2024-11-15 13:00:52,0,0,0,0.0635324,0,0.3811944,0.4447268,0.0635324,0
2024-11-15 13:00:51,0,0,0,0,0,0.5689001,0.4424779,0.1264223,0
2024-11-15 13:00:50,0,0,0,0.1265022,0,0.4427577,0.6957622,0,0
2024-11-15 13:00:49,0,0,0,0,0,0.3168568,0.3802281,0.1267427,0
2024-11-15 13:00:48,0,0,0,0.1897533,0,0.4427577,0.6325111,0.1265022,0
2024-11-15 13:00:47,0,0,0,0.1261034,0,0.7566204,0.7566204,0.1261034,0
2024-11-15 13:00:46,0,0,0,0.1261034,0,2.395965,0.7566204,0.0630517,0.0630517
2024-11-15 13:00:45,0,0,0,0,0,0.5072923,0.5072923,0,0
2024-11-15 13:00:44,0,0,0,0.0633714,0,0.4435995,0.4435995,0.0633714,0
2024-11-15 13:00:43,0,0,0,0.0631313,0,0.5050505,0.4419192,0.1262626,0
2024-11-15 13:00:42,0,0,0,0,0,0.8832808,0.7570978,0.0630915,0
2024-11-15 13:00:41,0,0,0,0,0,0.7594937,0.5063291,0.0632911,0
2024-11-15 13:00:40,0,0,0,0.0632511,0,0.5060089,0.5060089,0.0632511,0
2024-11-15 13:00:39,0,0,0,0.0633312,0,0.7599747,0.5066498,0.0633312,0
2024-11-15 13:00:38,0,0,0,0.0630517,0,0.630517,0.630517,0.1261034,0
2024-11-15 13:00:37,0,0,0,0.1261034,0,0.8196721,0.5674653,0,0
2024-11-15 13:00:36,0,0,0,0,0,0.4438808,0.4438808,0.0634115,0
2024-11-15 13:00:35,0,0,0,0.0635728,0,0.5721551,0.2542912,0.0635728,0
2024-11-15 13:00:34,0,0,0,0,0,0.5721551,0.5085823,0,0
2024-11-15 13:00:33,0,0,0,0,0,0.6329114,0.6329114,0.0632911,0
2024-11-15 13:00:32,0,0,0,0.0634115,0,0.5072923,0.3170577,0.1268231,0
