time,free,used,cached,buffers
2024-11-15 12:59:58,19015.75,6525.93,6425.012,131.79297
2024-11-15 12:59:57,19024.85,6516.828,6425.008,131.79297
2024-11-15 12:59:56,19028.54,6513.137,6425.008,131.79297
2024-11-15 12:59:55,19034.45,6507.355,6424.883,131.79297
2024-11-15 12:59:54,19036.9,6504.906,6424.883,131.78906
2024-11-15 12:59:53,19083.93,6460.602,6422.16,131.78906
2024-11-15 12:59:52,19084.69,6459.738,6422.266,131.78516
2024-11-15 12:59:51,19159.03,6385.477,6422.188,131.78516
2024-11-15 12:59:50,19153.62,6390.895,6422.188,131.78125
2024-11-15 12:59:49,19154.11,6390.531,6422.059,131.78125
2024-11-15 12:59:48,19162.23,6382.414,6422.055,131.78125
2024-11-15 12:59:47,19165.18,6379.465,6422.051,131.78125
2024-11-15 12:59:46,19165.91,6378.738,6422.047,131.78125
2024-11-15 12:59:45,19177.47,6367.18,6422.047,131.78125
2024-11-15 12:59:44,19184.09,6360.695,6421.918,131.78125
2024-11-15 12:59:43,19195.45,6349.465,6421.789,131.78125
2024-11-15 12:59:42,19198.89,6345.922,6421.891,131.77734
2024-11-15 12:59:41,19199.14,6345.676,6421.883,131.77734
2024-11-15 12:59:40,19197.41,6347.41,6421.879,131.77734
2024-11-15 12:59:39,19626.44,5918.395,6421.867,131.77734
2024-11-15 12:59:38,19725.35,5822.148,6419.207,131.77734
2024-11-15 12:59:37,19742.33,5805.168,6419.207,131.77734
2024-11-15 12:59:36,19802.98,5744.543,6419.176,131.77734
2024-11-15 12:59:35,19821.91,5725.738,6419.051,131.77734
2024-11-15 12:59:34,19825.11,5722.551,6419.051,131.77344
2024-11-15 12:59:33,20278.89,5268.934,6418.887,131.77344
2024-11-15 12:59:32,20278.87,5268.859,6418.98,131.76953
2024-11-15 12:59:31,20279.14,5268.59,6418.98,131.76953
2024-11-15 12:59:30,20278.89,5268.844,6418.98,131.76953
2024-11-15 12:59:29,20279.38,5268.48,6418.852,131.76953
2024-11-15 12:59:28,20279.38,5268.488,6418.844,131.76953
2024-11-15 12:59:27,20279.65,5268.219,6418.844,131.76953
2024-11-15 12:59:26,20279.89,5267.973,6418.844,131.76953
2024-11-15 12:59:25,20279.91,5267.957,6418.844,131.76953
2024-11-15 12:59:24,20280.1,5267.891,6418.719,131.76953
2024-11-15 12:59:23,20289.25,5258.867,6418.59,131.76953
2024-11-15 12:59:22,20324.45,5226.152,6416.105,131.76953
2024-11-15 12:59:21,20324.73,5225.84,6416.141,131.76953
2024-11-15 12:59:20,20397.83,5152.879,6416.008,131.76562
2024-11-15 12:59:19,20397.84,5152.871,6416.008,131.76562
2024-11-15 12:59:18,20397.82,5152.891,6416.004,131.76562
2024-11-15 12:59:17,20397.81,5152.898,6416.004,131.76562
2024-11-15 12:59:16,20398.06,5152.652,6416.004,131.76562
2024-11-15 12:59:15,20398.73,5151.984,6416.004,131.76562
2024-11-15 12:59:14,20398.48,5152.359,6415.879,131.76172
2024-11-15 12:59:13,20398.48,5152.484,6415.754,131.76172
2024-11-15 12:59:12,20398.73,5152.129,6415.863,131.76172
2024-11-15 12:59:11,20399.46,5151.391,6415.863,131.76172
2024-11-15 12:59:10,20399.22,5151.641,6415.863,131.75781
2024-11-15 12:59:09,20398.73,5152.258,6415.73,131.75781
2024-11-15 12:59:08,20397.23,5153.758,6415.73,131.75781
2024-11-15 12:59:07,20397.49,5153.504,6415.73,131.75781
2024-11-15 12:59:06,20397.5,5153.496,6415.73,131.75781
2024-11-15 12:59:05,20397.73,5153.383,6415.605,131.75781
2024-11-15 12:59:04,20397.98,5153.141,6415.605,131.75391
2024-11-15 12:59:03,20400.93,5150.312,6415.48,131.75391
2024-11-15 12:59:02,20400.7,5150.465,6415.574,131.74609
2024-11-15 12:59:01,20400.2,5150.969,6415.57,131.74609
2024-11-15 12:59:00,20400.18,5150.984,6415.574,131.74219
2024-11-15 12:58:59,20400.41,5150.883,6415.445,131.74219
2024-11-15 12:58:58,20400.67,5150.621,6415.445,131.74219
2024-11-15 12:58:57,20401.16,5150.137,6415.445,131.74219
2024-11-15 12:58:56,20401.16,5150.129,6415.445,131.74219
2024-11-15 12:58:55,20400.96,5150.336,6415.445,131.74219
2024-11-15 12:58:54,20400.8,5150.742,6415.195,131.74219
2024-11-15 12:58:53,20400.71,5150.75,6415.277,131.74219
2024-11-15 12:58:52,20400.46,5150.996,6415.277,131.74219
2024-11-15 12:58:51,20400.46,5150.996,6415.277,131.74219
2024-11-15 12:58:50,20400.7,5150.762,6415.273,131.74219
2024-11-15 12:58:49,20400.71,5150.758,6415.27,131.74219
2024-11-15 12:58:48,20400.95,5150.645,6415.145,131.74219
2024-11-15 12:58:47,20400.95,5150.645,6415.145,131.74219
2024-11-15 12:58:46,20400.95,5150.645,6415.145,131.74219
2024-11-15 12:58:45,20401.7,5150.023,6415.02,131.74219
2024-11-15 12:58:44,20401.2,5150.531,6415.02,131.73438
2024-11-15 12:58:43,20400.94,5150.914,6414.891,131.73438
2024-11-15 12:58:42,20401.43,5150.344,6414.973,131.73047
2024-11-15 12:58:41,20401.38,5150.402,6414.969,131.73047
2024-11-15 12:58:40,20400.22,5151.562,6414.969,131.73047
2024-11-15 12:58:39,20399.97,5151.809,6414.969,131.73047
2024-11-15 12:58:38,20400.2,5151.703,6414.844,131.73047
2024-11-15 12:58:37,20400.2,5151.711,6414.844,131.73047
2024-11-15 12:58:36,20399.96,5151.949,6414.844,131.73047
