time,time
2024-11-15 13:01:22,0.9532959
2024-11-15 13:01:20,0.5933521
2024-11-15 13:01:18,1.3910965
2024-11-15 13:01:16,0.3333359
2024-11-15 13:01:14,1.3222607
2024-11-15 13:01:12,1.999979
2024-11-15 13:01:10,3.186715
2024-11-15 13:01:08,3.906685
2024-11-15 13:01:06,3.046617
2024-11-15 13:01:04,3.422259
2024-11-15 13:01:02,2.666653
2024-11-15 13:01:00,3.062253
2024-11-15 13:00:58,3.271115
2024-11-15 13:00:56,2.666648
2024-11-15 13:00:54,2.271084
2024-11-15 13:00:52,1.802209
2024-11-15 13:00:50,1.69778
2024-11-15 13:00:48,2.000007
2024-11-15 13:00:46,1.4066286
2024-11-15 13:00:44,1.5933464
2024-11-15 13:00:42,1.906666
2024-11-15 13:00:40,1.0622412
2024-11-15 13:00:38,1.6666711
2024-11-15 13:00:36,2.062259
2024-11-15 13:00:34,2.629044
2024-11-15 13:00:32,5.59321
2024-11-15 13:00:30,6.126577
2024-11-15 13:00:28,2.422234
2024-11-15 13:00:26,1.6666644
2024-11-15 13:00:24,1.864452
2024-11-15 13:00:22,2
2024-11-15 13:00:20,2.593364
2024-11-15 13:00:18,3.29667
2024-11-15 13:00:16,3.40111
2024-11-15 13:00:14,3.30223
2024-11-15 13:00:12,3.155593
2024-11-15 13:00:10,4.66673
2024-11-15 13:00:08,21.77594
2024-11-15 13:00:06,43.88419
2024-11-15 13:00:04,36.95658
2024-11-15 13:00:02,27.30226
2024-11-15 13:00:00,26.99983
2024-11-15 12:59:58,17.50595
2024-11-15 12:59:56,13.96699
2024-11-15 12:59:54,16.311381
2024-11-15 12:59:52,19.33303
2024-11-15 12:59:50,13.795147
2024-11-15 12:59:48,10.840441
2024-11-15 12:59:46,19.00006
2024-11-15 12:59:44,17.51657
2024-11-15 12:59:42,24.31289
2024-11-15 12:59:40,28.26598
2024-11-15 12:59:38,14.666691
2024-11-15 12:59:36,17.43595
2024-11-15 12:59:34,18.08813
2024-11-15 12:59:32,6.062136
2024-11-15 12:59:30,6.666702
2024-11-15 12:59:28,6.271065
2024-11-15 12:59:26,6.466869
2024-11-15 12:59:24,11.155642
2024-11-15 12:59:22,12.666688
2024-11-15 12:59:20,7.721872
2024-11-15 12:59:18,4.535804
