time,Committed_AS
2024-11-15 13:01:22,5862.473
2024-11-15 13:01:21,5862.473
2024-11-15 13:01:20,5862.473
2024-11-15 13:01:19,6981.625
2024-11-15 13:01:18,6981.625
2024-11-15 13:01:17,6973.793
2024-11-15 13:01:16,6973.793
2024-11-15 13:01:15,6982.266
2024-11-15 13:01:14,6982.266
2024-11-15 13:01:13,6982.266
2024-11-15 13:01:12,6982.266
2024-11-15 13:01:11,6982.266
2024-11-15 13:01:10,6982.266
2024-11-15 13:01:09,6982.266
2024-11-15 13:01:08,6982.266
2024-11-15 13:01:07,6982.266
2024-11-15 13:01:06,6974.055
2024-11-15 13:01:05,6974.055
2024-11-15 13:01:04,6974.055
2024-11-15 13:01:03,6982.492
2024-11-15 13:01:02,6982.492
2024-11-15 13:01:01,6982.492
2024-11-15 13:01:00,6982.492
2024-11-15 13:00:59,6982.492
2024-11-15 13:00:58,6982.492
2024-11-15 13:00:57,6982.492
2024-11-15 13:00:56,6982.492
2024-11-15 13:00:55,6982.492
2024-11-15 13:00:54,6974.629
2024-11-15 13:00:53,6974.629
2024-11-15 13:00:52,6974.629
2024-11-15 13:00:51,6982.965
2024-11-15 13:00:50,6982.965
2024-11-15 13:00:49,6982.965
2024-11-15 13:00:48,6982.965
2024-11-15 13:00:47,6982.965
2024-11-15 13:00:46,6982.965
2024-11-15 13:00:45,6982.965
2024-11-15 13:00:44,6982.965
2024-11-15 13:00:43,6975.133
2024-11-15 13:00:42,6975.133
2024-11-15 13:00:41,6975.133
2024-11-15 13:00:40,6975.133
2024-11-15 13:00:39,6975.133
2024-11-15 13:00:38,6975.133
2024-11-15 13:00:37,6975.133
2024-11-15 13:00:36,6975.133
2024-11-15 13:00:35,6975.133
2024-11-15 13:00:34,6975.133
2024-11-15 13:00:33,6975.133
2024-11-15 13:00:32,6966.922
2024-11-15 13:00:31,6966.922
2024-11-15 13:00:30,6975.355
2024-11-15 13:00:29,6975.355
2024-11-15 13:00:28,6975.355
2024-11-15 13:00:27,6975.355
2024-11-15 13:00:26,6975.355
2024-11-15 13:00:25,6975.355
2024-11-15 13:00:24,6975.355
2024-11-15 13:00:23,6975.355
2024-11-15 13:00:22,6975.355
2024-11-15 13:00:21,6975.355
2024-11-15 13:00:20,6967.422
2024-11-15 13:00:19,6967.422
2024-11-15 13:00:18,6967.422
2024-11-15 13:00:17,6967.422
2024-11-15 13:00:16,6959.578
2024-11-15 13:00:15,6959.578
2024-11-15 13:00:14,6959.578
2024-11-15 13:00:13,6959.578
2024-11-15 13:00:12,6959.578
2024-11-15 13:00:11,6959.578
2024-11-15 13:00:10,6959.578
2024-11-15 13:00:09,6959.578
2024-11-15 13:00:08,6959.578
2024-11-15 13:00:07,6959.578
2024-11-15 13:00:06,14797.32
2024-11-15 13:00:05,14789.484
2024-11-15 13:00:04,14292.762
2024-11-15 13:00:03,14292.762
2024-11-15 13:00:02,14292.762
2024-11-15 13:00:01,13673.043
2024-11-15 13:00:00,13673.043
2024-11-15 12:59:59,13219.559
2024-11-15 12:59:58,13219.559
2024-11-15 12:59:57,13219.559
2024-11-15 12:59:56,13219.559
2024-11-15 12:59:55,13219.559
2024-11-15 12:59:54,13219.559
2024-11-15 12:59:53,13197.383
2024-11-15 12:59:52,13197.383
2024-11-15 12:59:51,12559.18
2024-11-15 12:59:50,12559.18
2024-11-15 12:59:49,12559.18
2024-11-15 12:59:48,12559.18
2024-11-15 12:59:47,12559.18
2024-11-15 12:59:46,12559.18
2024-11-15 12:59:45,12559.18
2024-11-15 12:59:44,12559.18
2024-11-15 12:59:43,12559.18
2024-11-15 12:59:42,12551.004
2024-11-15 12:59:41,12551.004
2024-11-15 12:59:40,12551.004
2024-11-15 12:59:39,12118.41
2024-11-15 12:59:38,12077.695
2024-11-15 12:59:37,12077.695
2024-11-15 12:59:36,12061.734
2024-11-15 12:59:35,11445.477
2024-11-15 12:59:34,11445.477
2024-11-15 12:59:33,10995.516
2024-11-15 12:59:32,10987.48
2024-11-15 12:59:31,10987.48
2024-11-15 12:59:30,10987.48
2024-11-15 12:59:29,10987.48
2024-11-15 12:59:28,10987.48
2024-11-15 12:59:27,10987.48
2024-11-15 12:59:26,10987.48
2024-11-15 12:59:25,10987.48
2024-11-15 12:59:24,10987.48
2024-11-15 12:59:23,10987.48
2024-11-15 12:59:22,10965.305
2024-11-15 12:59:21,10965.305
2024-11-15 12:59:20,10350.062
2024-11-15 12:59:19,10350.062
2024-11-15 12:59:18,10350.062
2024-11-15 12:59:17,10350.062
2024-11-15 12:59:16,10350.062
2024-11-15 12:59:15,10350.062
2024-11-15 12:59:14,10350.062
2024-11-15 12:59:13,10358.473
2024-11-15 12:59:12,10358.473
2024-11-15 12:59:11,10358.473
2024-11-15 12:59:10,10358.473
2024-11-15 12:59:09,10358.473
2024-11-15 12:59:08,10358.473
2024-11-15 12:59:07,10358.473
2024-11-15 12:59:06,10358.473
2024-11-15 12:59:05,10358.473
2024-11-15 12:59:04,10358.473
2024-11-15 12:59:03,10358.473
2024-11-15 12:59:02,10358.473
2024-11-15 12:59:01,10366.922
2024-11-15 12:59:00,10366.922
2024-11-15 12:58:59,10358.711
2024-11-15 12:58:58,10367.031
2024-11-15 12:58:57,10367.031
2024-11-15 12:58:56,10367.031
2024-11-15 12:58:55,10367.031
2024-11-15 12:58:54,10367.031
2024-11-15 12:58:53,10367.031
2024-11-15 12:58:52,10367.031
2024-11-15 12:58:51,10367.031
2024-11-15 12:58:50,10367.031
2024-11-15 12:58:49,10367.031
2024-11-15 12:58:48,10367.031
2024-11-15 12:58:47,10359.168
2024-11-15 12:58:46,10359.168
2024-11-15 12:58:45,10359.168
2024-11-15 12:58:44,10359.168
2024-11-15 12:58:43,10359.168
2024-11-15 12:58:42,10359.168
2024-11-15 12:58:41,10359.168
2024-11-15 12:58:40,10359.168
2024-11-15 12:58:39,10359.168
2024-11-15 12:58:38,10359.168
2024-11-15 12:58:37,10359.168
2024-11-15 12:58:36,10351.336
2024-11-15 12:58:35,10351.336
2024-11-15 12:58:34,10351.336
2024-11-15 12:58:33,10351.336
2024-11-15 12:58:32,10351.336
2024-11-15 12:58:31,10351.336
2024-11-15 12:58:30,10351.336
2024-11-15 12:58:29,10351.336
2024-11-15 12:58:28,10359.762
2024-11-15 12:58:27,10359.762
2024-11-15 12:58:26,10359.762
2024-11-15 12:58:25,10351.555
2024-11-15 12:58:24,10351.555
2024-11-15 12:58:23,10351.555
2024-11-15 12:58:22,10351.555
2024-11-15 12:58:21,10351.555
2024-11-15 12:58:20,10351.555
2024-11-15 12:58:19,10351.555
2024-11-15 12:58:18,10351.555
