time,received,sent,multicast
2024-11-15 18:25:10,0.7568673,-0.7568673,0
2024-11-15 18:25:09,1.2431327,-1.2431327,0
2024-11-15 18:25:08,0,0,0
2024-11-15 18:25:07,0,0,0
2024-11-15 18:25:06,0,0,0
2024-11-15 18:25:05,0,0,0
2024-11-15 18:25:04,0,0,0
2024-11-15 18:25:03,0,0,0
2024-11-15 18:25:02,0,-0.3785792,0
2024-11-15 18:25:01,0,-0.6214208,0
2024-11-15 18:25:00,0,0,0
2024-11-15 18:24:59,0,0,0
2024-11-15 18:24:58,0,-0.3784629,0
2024-11-15 18:24:57,0,-0.6215371,0
2024-11-15 18:24:56,0,-0.3783936,0
2024-11-15 18:24:55,0,-1.0001134,0
2024-11-15 18:24:54,0,-0.621493,0
2024-11-15 18:24:53,0,0,0
2024-11-15 18:24:52,0,0,0
2024-11-15 18:24:51,0.3784979,0,0
2024-11-15 18:24:50,2.136179,0,0
2024-11-15 18:24:49,4.378799,0,0
2024-11-15 18:24:48,4.620617,0,0
2024-11-15 18:24:47,3.242974,-0.3785335,0
2024-11-15 18:24:46,2.378759,-0.6214665,0
2024-11-15 18:24:45,3.000052,0,0
2024-11-15 18:24:44,2.621237,0,0
2024-11-15 18:24:43,3.513896,0,0
2024-11-15 18:24:42,6.377948,-0.3784228,0
2024-11-15 18:24:41,6.621566,-0.9999982,0
2024-11-15 18:24:40,4.486531,-1.0001077,0
2024-11-15 18:24:39,1.6215359,-0.6214713,0
2024-11-15 18:24:38,0.6214067,0,0
2024-11-15 18:24:37,0.3785274,-0.3785274,0
2024-11-15 18:24:36,0.6214726,-0.6214726,0
2024-11-15 18:24:35,0,0,0
2024-11-15 18:24:34,0,0,0
2024-11-15 18:24:33,0,0,0
2024-11-15 18:24:32,0,-0.3787483,0
2024-11-15 18:24:31,0,-0.6212517,0
2024-11-15 18:24:30,0,0,0
2024-11-15 18:24:29,0,0,0
2024-11-15 18:24:28,0,-0.3782127,0
2024-11-15 18:24:27,0.3782311,-1.0000184,0
2024-11-15 18:24:26,1.3783109,-2.134853,0
2024-11-15 18:24:25,1.2434581,-2.865187,0
2024-11-15 18:24:24,0,-0.6217296,0
2024-11-15 18:24:23,0,0,0
2024-11-15 18:24:22,0.3782037,0,0
2024-11-15 18:24:21,0.6217963,0,0
2024-11-15 18:24:20,0,0,0
2024-11-15 18:24:19,0,0,0
2024-11-15 18:24:18,0,0,0
2024-11-15 18:24:17,0,0,0
2024-11-15 18:24:16,0,0,0
2024-11-15 18:24:15,0,0,0
2024-11-15 18:24:14,0,0,0
2024-11-15 18:24:13,0,0,0
2024-11-15 18:24:12,0,0,0
2024-11-15 18:24:11,0,0,0
2024-11-15 18:24:10,0,-0.3783038,0
2024-11-15 18:24:09,0,-0.6216962,0
2024-11-15 18:24:08,0.378196,0,0
2024-11-15 18:24:07,0.999975,0,0
2024-11-15 18:24:06,4.025102,-0.3781414,0
2024-11-15 18:24:05,15.053343,-1.3783879,0
2024-11-15 18:24:04,15.921748,-1.2434707,0
2024-11-15 18:24:03,0.9998789,0,0
2024-11-15 18:24:02,0.6217573,-0.3782609,0
2024-11-15 18:24:01,0,-0.6217391,0
2024-11-15 18:24:00,0.3781995,-0.3781995,0
2024-11-15 18:23:59,0.6218005,-0.6218005,0
2024-11-15 18:23:58,0,-0.3781886,0
2024-11-15 18:23:57,0.378234,-0.6218114,0
2024-11-15 18:23:56,0.621766,-0.3782252,0
2024-11-15 18:23:55,0,-0.9999412,0
2024-11-15 18:23:54,0,-0.6218336,0
2024-11-15 18:23:53,0,0,0
2024-11-15 18:23:52,0,0,0
2024-11-15 18:23:51,0,0,0
2024-11-15 18:23:50,0,0,0
2024-11-15 18:23:49,0,0,0
2024-11-15 18:23:48,0,0,0
2024-11-15 18:23:47,0,0,0
2024-11-15 18:23:46,0,0,0
2024-11-15 18:23:45,0,0,0
2024-11-15 18:23:44,0,0,0
2024-11-15 18:23:43,0,0,0
2024-11-15 18:23:42,0.3782066,-0.3782066,0
2024-11-15 18:23:41,1.0000866,-1.0000866,0
2024-11-15 18:23:40,0.6217068,-1.00014,0
2024-11-15 18:23:39,0,-0.6215667,0
2024-11-15 18:23:38,0,0,0
2024-11-15 18:23:37,0.3784651,-0.3784651,0
2024-11-15 18:23:36,0.6215349,-0.6215349,0
2024-11-15 18:23:35,0,0,0
2024-11-15 18:23:34,0,0,0
2024-11-15 18:23:33,0,0,0
2024-11-15 18:23:32,0,-0.3785754,0
2024-11-15 18:23:31,0,-0.6214246,0
2024-11-15 18:23:30,0,0,0
2024-11-15 18:23:29,0,0,0
2024-11-15 18:23:28,0,-0.3784703,0
2024-11-15 18:23:27,0,-0.6215297,0
2024-11-15 18:23:26,0.7569804,-1.1354706,0
2024-11-15 18:23:25,1.2430196,-2.242995,0
2024-11-15 18:23:24,0.3783851,-1.3783048,0
2024-11-15 18:23:23,0.6216149,-1.2432298,0
2024-11-15 18:23:22,0,0,0
2024-11-15 18:23:21,1.5141964,0,0
