time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2024-11-15 18:25:10,0,0,0,0,0,0.0626174,0.1878522,0.0626174,0
2024-11-15 18:25:09,0,0,0,0,0,0.1250782,0.1250782,0.1250782,0
2024-11-15 18:25:08,0,0,0,0,0,0.0626174,0.5009393,0.1252348,0
2024-11-15 18:25:07,0,0,0,0,0,0.5628518,0.1876173,0.1250782,0
2024-11-15 18:25:06,0,0,0,0,0,0.3125,0.25,0.125,0
2024-11-15 18:25:05,0,0,0,0.1259446,0,1.1335013,0.6297229,0.1259446,0
2024-11-15 18:25:04,0,0,0,0.1262626,0,2.020202,0.4419192,0.1893939,0
2024-11-15 18:25:03,0,0,0,0,0,0.5689001,0.4424779,0.0632111,0
2024-11-15 18:25:02,0,0,0,0.0634115,0,0.4438808,0.3170577,0.0634115,0
2024-11-15 18:25:01,0,0,0,0,0,0.6317119,0.3790272,0.1895136,0
2024-11-15 18:25:00,0,0,0,0.0635324,0,0.3811944,0.1270648,0,0
2024-11-15 18:24:59,0,0,0,0,0,0.5063291,0.3797468,0.2531646,0
2024-11-15 18:24:58,0,0,0,0.0632111,0,0.6321113,0.2528445,0.0632111,0
2024-11-15 18:24:57,0,0,0,0,0,0.6333122,0.2533249,0.1899937,0
2024-11-15 18:24:56,0,0,0,0.1265022,0,0.6325111,0.2530044,0.0632511,0
2024-11-15 18:24:55,0,0,0,0,0,0.8222644,0.5060089,0.1265022,0
2024-11-15 18:24:54,0,0,0,0,0,0.3174603,0.2539683,0.0634921,0
2024-11-15 18:24:53,0,0,0,0,0,0.2538071,0.3807107,0.0634518,0
2024-11-15 18:24:52,0,0,0,0.0636132,0,0.3816794,0.2544529,0.0636132,0
2024-11-15 18:24:51,0,0,0,0.0632511,0,0.5060089,0.3795066,0.1265022,0
2024-11-15 18:24:50,0,0,0,0,0,0.3795066,0.2530044,0.1265022,0
2024-11-15 18:24:49,0,0,0,0,0,0.7599747,0.2533249,0.1266624,0
2024-11-15 18:24:48,0,0,0,0,0,0.5063291,0.3797468,0.1265823,0
2024-11-15 18:24:47,0,0,0,0.1269841,0,0.5079365,0.1904762,0,0.0634921
2024-11-15 18:24:46,0,0,0,0.0634921,0,0.3174603,0.2539683,0.0634921,0
2024-11-15 18:24:45,0,0,0,0.0633714,0,0.5703422,0.3168568,0.0633714,0
2024-11-15 18:24:44,0,0,0,0,0,0.5079365,0.1904762,0.1269841,0
2024-11-15 18:24:43,0,0,0,0.0632911,0,0.8227848,0.3164557,0,0
2024-11-15 18:24:42,0,0,0,0,0,0.571066,0.4441624,0.1269036,0
2024-11-15 18:24:41,0,0,0,0.0636943,0,0.3821656,0.1273885,0,0
2024-11-15 18:24:40,0,0,0,0,0,0.3809524,0.3174603,0.0634921,0
2024-11-15 18:24:39,0,0,0,0,0,0.6970849,0.4435995,0.0633714,0
2024-11-15 18:24:38,0,0,0,0.0634115,0,0.6341154,0.1902346,0.1268231,0
2024-11-15 18:24:37,0,0,0,0.0630517,0,0.8196721,0.5044136,0.1261034,0
2024-11-15 18:24:36,0,0,0,0,0,0.6975269,0.3170577,0,0
2024-11-15 18:24:35,0,0,0,0.0631313,0,0.8207071,0.4419192,0.0631313,0
2024-11-15 18:24:34,0,0,0,0.0632511,0,0.4427577,0.2530044,0.1265022,0
2024-11-15 18:24:33,0,0,0,0.1261034,0,0.4413619,0.3783102,0.0630517,0
2024-11-15 18:24:32,0,0,0,0,0,0.5066498,0.2533249,0.0633312,0
2024-11-15 18:24:31,0,0,0,0.1263424,0,0.8843967,0.4421984,0.0631712,0
2024-11-15 18:24:30,0,0,0.0633312,0.0633312,0,2.026599,0.3166561,0.1266624,0
2024-11-15 18:24:29,0,0,0,0.0631712,0,0.5685407,0.4421984,0.1263424,0
2024-11-15 18:24:28,0,0,0,0,0,0.4419192,0.3787879,0.0631313,0
2024-11-15 18:24:27,0,0,0,0.1897533,0,0.7590133,0.3162555,0.0632511,0
2024-11-15 18:24:26,0,0,0,0.1264223,0,0.505689,0.3160556,0.1264223,0
