time,free,used,cached,buffers
2024-11-15 18:23:45,28338.21,2833.145,907.4297,19.69922
2024-11-15 18:23:44,28338.45,2832.906,907.4297,19.69922
2024-11-15 18:23:43,28338.54,2832.812,907.4297,19.69922
2024-11-15 18:23:42,28338.44,2832.914,907.4297,19.69922
2024-11-15 18:23:41,28338.2,2833.16,907.4297,19.69141
2024-11-15 18:23:40,28338.22,2833.137,907.4297,19.69141
2024-11-15 18:23:39,28337.94,2833.422,907.4297,19.69141
2024-11-15 18:23:38,28337.95,2833.414,907.4297,19.69141
2024-11-15 18:23:37,28337.79,2833.566,907.4297,19.69141
2024-11-15 18:23:36,28315.88,2847.809,915.1094,19.68359
2024-11-15 18:23:35,22129.97,9014.375,934.4531,19.68359
2024-11-15 18:23:34,22580.23,8564.141,934.4219,19.68359
2024-11-15 18:23:33,23026.6,8120.297,931.9023,19.68359
2024-11-15 18:23:32,23146.1,8003.336,929.3633,19.67969
2024-11-15 18:23:31,23693.54,7455.938,929.3359,19.67188
2024-11-15 18:23:30,23736.07,7415.934,926.8047,19.67188
2024-11-15 18:23:29,23773.21,7378.855,926.7461,19.67188
2024-11-15 18:23:28,23848.38,7303.695,926.7344,19.67188
2024-11-15 18:23:27,23848.85,7303.234,926.7266,19.67188
2024-11-15 18:23:26,23848.85,7303.234,926.7344,19.66406
2024-11-15 18:23:25,23848.76,7303.32,926.7344,19.66406
2024-11-15 18:23:24,23854.01,7298.074,926.7344,19.66406
2024-11-15 18:23:23,23854.51,7297.578,926.7305,19.66406
2024-11-15 18:23:22,23854.51,7297.578,926.7305,19.66406
2024-11-15 18:23:21,23854.75,7297.348,926.7227,19.65625
2024-11-15 18:23:20,23854.49,7297.613,926.7188,19.65625
2024-11-15 18:23:19,23855.24,7296.953,926.6328,19.65625
2024-11-15 18:23:18,23855.23,7296.961,926.6328,19.65625
2024-11-15 18:23:17,23855.73,7296.461,926.6328,19.65625
2024-11-15 18:23:16,23855.72,7296.477,926.6328,19.64844
2024-11-15 18:23:15,23855.68,7296.523,926.6328,19.64844
2024-11-15 18:23:14,23856.18,7296.023,926.6328,19.64844
