time,received,sent
2024-11-15 18:25:10,0,-0.4327608
2024-11-15 18:25:09,0,0
2024-11-15 18:25:08,0,0
2024-11-15 18:25:07,0,0
2024-11-15 18:25:06,0.2920455,-0.2648785
2024-11-15 18:25:05,0.3959545,-0.3591215
2024-11-15 18:25:04,0,0
2024-11-15 18:25:03,0,-0.3192237
2024-11-15 18:25:02,0,-0.4327763
2024-11-15 18:25:01,0.9372675,-1.2428982
2024-11-15 18:25:00,1.2707325,-1.685102
2024-11-15 18:24:59,0,0
2024-11-15 18:24:58,0,-0.3191606
2024-11-15 18:24:57,0,-0.4328394
2024-11-15 18:24:56,0,-0.319214
2024-11-15 18:24:55,0,-0.7519965
2024-11-15 18:24:54,0,-0.4327895
2024-11-15 18:24:53,0,0
2024-11-15 18:24:52,0,0
2024-11-15 18:24:51,0,0
2024-11-15 18:24:50,0,0
2024-11-15 18:24:49,0,0
2024-11-15 18:24:48,0,0
2024-11-15 18:24:47,0,0
2024-11-15 18:24:46,0,0
2024-11-15 18:24:45,0,0
2024-11-15 18:24:44,0,0
2024-11-15 18:24:43,0,0
2024-11-15 18:24:42,0,0
2024-11-15 18:24:41,0.2648371,-0.5839998
2024-11-15 18:24:40,0.3591629,-0.7920002
2024-11-15 18:24:39,0,0
2024-11-15 18:24:38,0,0
2024-11-15 18:24:37,0.2648593,0
2024-11-15 18:24:36,0.6239779,-0.7945117
2024-11-15 18:24:35,0.3591628,-1.0774883
2024-11-15 18:24:34,0,0
2024-11-15 18:24:33,0,0
2024-11-15 18:24:32,0.2920977,-0.5841954
2024-11-15 18:24:31,0.3959023,-0.7918046
2024-11-15 18:24:30,0,0
2024-11-15 18:24:29,0,0
2024-11-15 18:24:28,0,-0.3192055
2024-11-15 18:24:27,0,-0.4327945
2024-11-15 18:24:26,0.2648799,-0.5840941
2024-11-15 18:24:25,0.3591201,-1.1111345
2024-11-15 18:24:24,0,-0.4327714
2024-11-15 18:24:23,0,0
2024-11-15 18:24:22,0.8217719,0
2024-11-15 18:24:21,1.1142281,0
2024-11-15 18:24:20,0,0
2024-11-15 18:24:19,0,0
2024-11-15 18:24:18,0.2105446,0
2024-11-15 18:24:17,0.2854554,0
2024-11-15 18:24:16,0.3802599,-0.6858259
2024-11-15 18:24:15,0.5157401,-0.9301741
2024-11-15 18:24:14,0,0
2024-11-15 18:24:13,0.2919888,-0.264827
2024-11-15 18:24:12,0.6065305,-0.359173
2024-11-15 18:24:11,0.2854807,-0.3191348
2024-11-15 18:24:10,0,-0.4328652
2024-11-15 18:24:09,0,0
2024-11-15 18:24:08,0.2648427,-0.2920061
2024-11-15 18:24:07,0.3591573,-0.3959939
2024-11-15 18:24:06,0,0
2024-11-15 18:24:05,0,0
2024-11-15 18:24:04,0,0
2024-11-15 18:24:03,0,-0.3191888
2024-11-15 18:24:02,0,-0.4328112
2024-11-15 18:24:01,0,0
2024-11-15 18:24:00,0,0
2024-11-15 18:23:59,0,0
2024-11-15 18:23:58,0,-0.3191526
2024-11-15 18:23:57,0.2920061,-0.6976901
2024-11-15 18:23:56,0.3959939,-0.6783419
2024-11-15 18:23:55,0,-0.7520115
2024-11-15 18:23:54,0,-0.4328039
2024-11-15 18:23:53,0,0
2024-11-15 18:23:52,0,0
2024-11-15 18:23:51,0,0
2024-11-15 18:23:50,0,0
2024-11-15 18:23:49,0,0
2024-11-15 18:23:48,0,0
2024-11-15 18:23:47,0,0
2024-11-15 18:23:46,0,0
2024-11-15 18:23:45,0,0
2024-11-15 18:23:44,0,0
2024-11-15 18:23:43,0,0
2024-11-15 18:23:42,0,0
2024-11-15 18:23:41,0.2648387,-0.5840033
2024-11-15 18:23:40,0.3591613,-0.7919967
2024-11-15 18:23:39,0.5771668,0
2024-11-15 18:23:38,4.273347,-1.0186326
2024-11-15 18:23:37,4.998366,-1.3813674
2024-11-15 18:23:36,0.624002,-0.7946477
2024-11-15 18:23:35,0.3591174,-1.0773523
2024-11-15 18:23:34,0,0
2024-11-15 18:23:33,0.3736246,-0.3736246
2024-11-15 18:23:32,0.5063754,-0.8256392
2024-11-15 18:23:31,0,-0.4327362
2024-11-15 18:23:30,0.3803628,-0.6860114
2024-11-15 18:23:29,0.5156372,-0.9299886
2024-11-15 18:23:28,0,-0.319208
2024-11-15 18:23:27,0,-0.432792
2024-11-15 18:23:26,0.2648899,-0.5841162
2024-11-15 18:23:25,0.3591101,-1.1111107
2024-11-15 18:23:24,0,-0.4327731
2024-11-15 18:23:23,0,0
2024-11-15 18:23:22,0,0
2024-11-15 18:23:21,0,0
2024-11-15 18:23:20,0,0
2024-11-15 18:23:19,0,0
2024-11-15 18:23:18,0.2920967,-0.264925
2024-11-15 18:23:17,0.3959033,-0.359075
2024-11-15 18:23:16,0,0
2024-11-15 18:23:15,0,0
2024-11-15 18:23:14,0,0
2024-11-15 18:23:13,0.7608035,-0.3871946
2024-11-15 18:23:12,1.0311965,-0.5248054
2024-11-15 18:23:11,0,-0.3192459
2024-11-15 18:23:10,0,-0.4327541
2024-11-15 18:23:09,0,0
2024-11-15 18:23:08,0,0
2024-11-15 18:23:07,0,0
2024-11-15 18:23:06,0,0
2024-11-15 18:23:05,0,0
2024-11-15 18:23:04,0,0
2024-11-15 18:23:03,0,0
2024-11-15 18:23:02,0,-0.3191696
2024-11-15 18:23:01,0,-0.4328304
2024-11-15 18:23:00,0,0
2024-11-15 18:22:59,0,0
2024-11-15 18:22:58,0,-0.3192131
2024-11-15 18:22:57,0,-0.4327869
2024-11-15 18:22:56,0,-0.319241
2024-11-15 18:22:55,0,-0.7520004
2024-11-15 18:22:54,0,-0.4327585
2024-11-15 18:22:53,0,0
2024-11-15 18:22:52,0,0
2024-11-15 18:22:51,0,0
2024-11-15 18:22:50,0,0
2024-11-15 18:22:49,0,0
2024-11-15 18:22:48,0,0
2024-11-15 18:22:47,0.2920752,-0.2649054
2024-11-15 18:22:46,0.3959248,-0.3590946
2024-11-15 18:22:45,0.3803547,-0.6859968
2024-11-15 18:22:44,0.5156453,-0.9300032
2024-11-15 18:22:43,0,0
2024-11-15 18:22:42,0.2648972,-0.2920662
2024-11-15 18:22:41,0.6239871,-0.6608181
2024-11-15 18:22:40,0.3591157,-0.6783642
2024-11-15 18:22:39,0,-0.4327515
2024-11-15 18:22:38,0,0
2024-11-15 18:22:37,0.2648696,0
2024-11-15 18:22:36,0.6240075,-0.7946312
2024-11-15 18:22:35,0.3591229,-1.0773688
2024-11-15 18:22:34,0,0
2024-11-15 18:22:33,0,0
2024-11-15 18:22:32,0,-0.3192168
2024-11-15 18:22:31,0.2920473,-0.6976633
2024-11-15 18:22:30,0.3959527,-0.3591198
2024-11-15 18:22:29,0,0
2024-11-15 18:22:28,0,-0.3192154
2024-11-15 18:22:27,0,-0.4327846
2024-11-15 18:22:26,0.2648745,-0.5840822
2024-11-15 18:22:25,0.3591255,-1.1111333
2024-11-15 18:22:24,0,-0.4327845
2024-11-15 18:22:23,0,0
2024-11-15 18:22:22,0,0
2024-11-15 18:22:21,0,0
2024-11-15 18:22:20,0,0
2024-11-15 18:22:19,0,0
2024-11-15 18:22:18,0,0
2024-11-15 18:22:17,0,0
2024-11-15 18:22:16,0,0
2024-11-15 18:22:15,0.5772758,0
2024-11-15 18:22:14,4.273623,-1.0187449
2024-11-15 18:22:13,4.733101,-1.3812551
2024-11-15 18:22:12,0.2105604,0
2024-11-15 18:22:11,0.5910584,0
2024-11-15 18:22:10,0.9305905,-0.3192347
2024-11-15 18:22:09,0.6997906,-0.4327653
2024-11-15 18:22:08,0,0
2024-11-15 18:22:07,0,0
2024-11-15 18:22:06,0.2920517,-0.2648841
2024-11-15 18:22:05,0.6065035,-0.3591159
2024-11-15 18:22:04,0.2854449,0
2024-11-15 18:22:03,0,0
2024-11-15 18:22:02,0,-0.3192433
2024-11-15 18:22:01,0.380375,-1.1187902
2024-11-15 18:22:00,0.7805265,-1.2220374
2024-11-15 18:21:59,0.6511813,-0.6608414
2024-11-15 18:21:58,0.3959172,-0.6783699
2024-11-15 18:21:57,0,-0.4327178
2024-11-15 18:21:56,0,-0.3192376
2024-11-15 18:21:55,0,-0.7520071
2024-11-15 18:21:54,0,-0.4327552
2024-11-15 18:21:53,0,0
2024-11-15 18:21:52,0,0
2024-11-15 18:21:51,0,0
2024-11-15 18:21:50,0,0
2024-11-15 18:21:49,0,0
2024-11-15 18:21:48,0,0
2024-11-15 18:21:47,0,0
2024-11-15 18:21:46,0,0
2024-11-15 18:21:45,0,0
2024-11-15 18:21:44,0,0
2024-11-15 18:21:43,0,0
2024-11-15 18:21:42,0,0
2024-11-15 18:21:41,0.2649096,-0.2649096
2024-11-15 18:21:40,0.3590904,-0.6783322
2024-11-15 18:21:39,0,-0.4327582
2024-11-15 18:21:38,0,0
2024-11-15 18:21:37,0.2648854,0
2024-11-15 18:21:36,0.6240076,-0.7946789
2024-11-15 18:21:35,0.359107,-1.0773211
2024-11-15 18:21:34,0,0
2024-11-15 18:21:33,0,0
2024-11-15 18:21:32,0,-0.3192324
2024-11-15 18:21:31,0,-0.4327676
2024-11-15 18:21:30,0,0
2024-11-15 18:21:29,0,0
2024-11-15 18:21:28,0.8149294,-0.8285116
2024-11-15 18:21:27,4.357899,-1.632804
2024-11-15 18:21:26,4.676011,-1.2746887
2024-11-15 18:21:25,0.3591609,-1.1111938
2024-11-15 18:21:24,0,-0.4328019
2024-11-15 18:21:23,0,0
2024-11-15 18:21:22,0,0
2024-11-15 18:21:21,0,0
2024-11-15 18:21:20,0,0
2024-11-15 18:21:19,0.2920475,-0.2648803
2024-11-15 18:21:18,0.3959525,-0.3591197
2024-11-15 18:21:17,0,0
2024-11-15 18:21:16,0.3803607,-0.6860076
2024-11-15 18:21:15,0.5156393,-0.9299924
2024-11-15 18:21:14,0,0
2024-11-15 18:21:13,0.7606328,-0.3871078
2024-11-15 18:21:12,1.0313672,-0.5248922
2024-11-15 18:21:11,0,0
2024-11-15 18:21:10,0,-0.3191944
2024-11-15 18:21:09,0,-0.4328056
2024-11-15 18:21:08,0,0
2024-11-15 18:21:07,0,0
2024-11-15 18:21:06,0,0
2024-11-15 18:21:05,0,0
2024-11-15 18:21:04,0,0
2024-11-15 18:21:03,0,0
2024-11-15 18:21:02,0,-0.3192468
2024-11-15 18:21:01,0,-0.4327532
2024-11-15 18:21:00,0,0
2024-11-15 18:20:59,0,0
2024-11-15 18:20:58,0,-0.3192531
2024-11-15 18:20:57,0,-0.4327469
2024-11-15 18:20:56,0,-0.3192603
2024-11-15 18:20:55,0,-0.7519836
2024-11-15 18:20:54,0,-0.4327561
2024-11-15 18:20:53,0,0
2024-11-15 18:20:52,0,0
2024-11-15 18:20:51,0,0
2024-11-15 18:20:50,0,0
2024-11-15 18:20:49,0,0
2024-11-15 18:20:48,0,0
2024-11-15 18:20:47,0,0
2024-11-15 18:20:46,0,0
2024-11-15 18:20:45,0,0
2024-11-15 18:20:44,0,0
2024-11-15 18:20:43,0,0
2024-11-15 18:20:42,0,0
2024-11-15 18:20:41,0.2648969,-0.2648969
2024-11-15 18:20:40,0.3591031,-0.6783697
2024-11-15 18:20:39,0,-0.4327334
2024-11-15 18:20:38,0,0
2024-11-15 18:20:37,0.2648802,0
2024-11-15 18:20:36,0.6240459,-0.7947784
2024-11-15 18:20:35,0.3590739,-1.0772216
2024-11-15 18:20:34,0,0
2024-11-15 18:20:33,0,0
2024-11-15 18:20:32,0,-0.3192529
2024-11-15 18:20:31,0.672486,-1.3837375
2024-11-15 18:20:30,1.1764227,-1.5810885
2024-11-15 18:20:29,0.3590912,-0.3959211
2024-11-15 18:20:28,1.698132,-0.8286882
2024-11-15 18:20:27,4.672458,-1.6327509
2024-11-15 18:20:26,3.478319,-1.2747184
2024-11-15 18:20:25,0.3590914,-1.1110919
2024-11-15 18:20:24,0,-0.4327507
2024-11-15 18:20:23,0,0
2024-11-15 18:20:22,0,0
2024-11-15 18:20:21,0,0
2024-11-15 18:20:20,0,0
2024-11-15 18:20:19,0,0
2024-11-15 18:20:18,0.2105795,0
2024-11-15 18:20:17,0.2854205,0
2024-11-15 18:20:16,0,0
2024-11-15 18:20:15,0,0
2024-11-15 18:20:14,0,0
2024-11-15 18:20:13,0,0
2024-11-15 18:20:12,0.516294,0
2024-11-15 18:20:11,1.2159514,0
2024-11-15 18:20:10,0.6997547,-0.3192527
2024-11-15 18:20:09,0,-0.4327473
2024-11-15 18:20:08,0,0
2024-11-15 18:20:07,0,0
2024-11-15 18:20:06,0,0
2024-11-15 18:20:05,0,0
2024-11-15 18:20:04,0,0
2024-11-15 18:20:03,0,0
2024-11-15 18:20:02,0,-0.3192674
2024-11-15 18:20:01,0,-0.4327326
2024-11-15 18:20:00,0,0
2024-11-15 18:19:59,0,0
2024-11-15 18:19:58,0,-0.3192635
2024-11-15 18:19:57,0,-0.4327365
2024-11-15 18:19:56,0.2920764,-0.5841529
2024-11-15 18:19:55,0.3959236,-1.111114
2024-11-15 18:19:54,0,-0.4327332
2024-11-15 18:19:53,0,0
2024-11-15 18:19:52,0,0
2024-11-15 18:19:51,0,0
2024-11-15 18:19:50,0.2649484,-0.2921225
2024-11-15 18:19:49,0.3590516,-0.3958775
2024-11-15 18:19:48,0,0
2024-11-15 18:19:47,0,0
2024-11-15 18:19:46,0.2921235,-0.2649492
2024-11-15 18:19:45,0.7762698,-1.0451173
2024-11-15 18:19:44,0.5156067,-0.9299335
2024-11-15 18:19:43,0,0
2024-11-15 18:19:42,0,0
2024-11-15 18:19:41,0.2649167,-0.2649167
2024-11-15 18:19:40,0.3590833,-0.6783539
2024-11-15 18:19:39,0,-0.4327294
2024-11-15 18:19:38,0,-0.5095183
2024-11-15 18:19:37,4.334044,-1.1999696
2024-11-15 18:19:36,6.138858,-1.4852182
2024-11-15 18:19:35,0.359098,-1.0772939
2024-11-15 18:19:34,0,0
2024-11-15 18:19:33,0,0
2024-11-15 18:19:32,0,-0.3192797
2024-11-15 18:19:31,0,-0.4327203
2024-11-15 18:19:30,0,0
2024-11-15 18:19:29,0,0
2024-11-15 18:19:28,0,-0.3192848
2024-11-15 18:19:27,0,-0.4327152
2024-11-15 18:19:26,0.2649499,-0.5842484
2024-11-15 18:19:25,0.3590501,-1.1110071
2024-11-15 18:19:24,0,-0.4327444
2024-11-15 18:19:23,0,0
2024-11-15 18:19:22,0,0
2024-11-15 18:19:21,0,0
2024-11-15 18:19:20,0,0
2024-11-15 18:19:19,0,0
2024-11-15 18:19:18,0,0
2024-11-15 18:19:17,0,0
2024-11-15 18:19:16,0,0
2024-11-15 18:19:15,0,0
2024-11-15 18:19:14,0,0
2024-11-15 18:19:13,0.7607236,-0.387154
2024-11-15 18:19:12,1.0312764,-0.524846
2024-11-15 18:19:11,0,0
2024-11-15 18:19:10,0,-0.3192347
2024-11-15 18:19:09,0,-0.4327653
2024-11-15 18:19:08,0,0
2024-11-15 18:19:07,0.2105463,0
2024-11-15 18:19:06,0.2854537,0
2024-11-15 18:19:05,0.2920463,-0.2648792
2024-11-15 18:19:04,0.3959537,-0.3591208
2024-11-15 18:19:03,0,0
2024-11-15 18:19:02,0.2920551,-0.5841101
2024-11-15 18:19:01,0.7762952,-1.4778788
2024-11-15 18:19:00,0.7805317,-1.2220605
2024-11-15 18:18:59,0.359118,-0.3959507
2024-11-15 18:18:58,0,-0.3192184
2024-11-15 18:18:57,0,-0.4327816
2024-11-15 18:18:56,0,-0.319222
2024-11-15 18:18:55,0,-0.7520062
2024-11-15 18:18:54,0,-0.4327718
2024-11-15 18:18:53,0,0
2024-11-15 18:18:52,0,0
2024-11-15 18:18:51,0,0
