time,Committed_AS
2024-11-15 21:18:43,6034.113
2024-11-15 21:18:42,6034.113
2024-11-15 21:18:41,6034.113
2024-11-15 21:18:40,6034.113
2024-11-15 21:18:39,6034.113
2024-11-15 21:18:38,6034.113
2024-11-15 21:18:37,6034.113
2024-11-15 21:18:36,6034.113
2024-11-15 21:18:35,6034.113
2024-11-15 21:18:34,6034.719
2024-11-15 21:18:33,6034.719
2024-11-15 21:18:32,6034.719
2024-11-15 21:18:31,6034.719
2024-11-15 21:18:30,6034.719
2024-11-15 21:18:29,6034.719
2024-11-15 21:18:28,6034.719
2024-11-15 21:18:27,6043.156
2024-11-15 21:18:26,6043.156
2024-11-15 21:18:25,6043.156
2024-11-15 21:18:24,6043.156
2024-11-15 21:18:23,6034.945
2024-11-15 21:18:22,6034.945
2024-11-15 21:18:21,6034.945
2024-11-15 21:18:20,6034.945
2024-11-15 21:18:19,6034.945
2024-11-15 21:18:18,6043.152
2024-11-15 21:18:17,6043.152
2024-11-15 21:18:16,6043.152
2024-11-15 21:18:15,6035.289
2024-11-15 21:18:14,6035.289
2024-11-15 21:18:13,6035.289
2024-11-15 21:18:12,6035.289
2024-11-15 21:18:11,6035.289
2024-11-15 21:18:10,6035.289
2024-11-15 21:18:09,6027.457
2024-11-15 21:18:08,6027.457
2024-11-15 21:18:07,6027.457
2024-11-15 21:18:06,6027.457
2024-11-15 21:18:05,6027.457
2024-11-15 21:18:04,6027.457
2024-11-15 21:18:03,6027.457
2024-11-15 21:18:02,6027.457
2024-11-15 21:18:01,6027.457
2024-11-15 21:18:00,6027.457
2024-11-15 21:17:59,6027.457
2024-11-15 21:17:58,6019.246
2024-11-15 21:17:57,6019.246
2024-11-15 21:17:56,6019.246
2024-11-15 21:17:55,6019.246
2024-11-15 21:17:54,6019.246
2024-11-15 21:17:53,6027.551
2024-11-15 21:17:52,6027.551
2024-11-15 21:17:51,6027.551
2024-11-15 21:17:50,6019.352
2024-11-15 21:17:49,6019.352
2024-11-15 21:17:48,6019.352
2024-11-15 21:17:47,6019.352
2024-11-15 21:17:46,6019.352
2024-11-15 21:17:45,6019.352
2024-11-15 21:17:44,6019.352
2024-11-15 21:17:43,6019.352
2024-11-15 21:17:42,6019.352
2024-11-15 21:17:41,6019.352
2024-11-15 21:17:40,6019.352
2024-11-15 21:17:39,6019.352
2024-11-15 21:17:38,6027.789
2024-11-15 21:17:37,6027.789
2024-11-15 21:17:36,6027.789
2024-11-15 21:17:35,6027.789
2024-11-15 21:17:34,6027.789
2024-11-15 21:17:33,6027.789
2024-11-15 21:17:32,6027.789
2024-11-15 21:17:31,6027.789
2024-11-15 21:17:30,6027.789
2024-11-15 21:17:29,6027.789
2024-11-15 21:17:28,6027.789
2024-11-15 21:17:27,6019.957
2024-11-15 21:17:26,6019.957
2024-11-15 21:17:25,6019.957
2024-11-15 21:17:24,6019.957
2024-11-15 21:17:23,6019.957
2024-11-15 21:17:22,6019.957
2024-11-15 21:17:21,6019.957
2024-11-15 21:17:20,6019.957
2024-11-15 21:17:19,6028.395
2024-11-15 21:17:18,6028.395
2024-11-15 21:17:17,6028.395
2024-11-15 21:17:16,6020.184
2024-11-15 21:17:15,6020.184
2024-11-15 21:17:14,6020.184
2024-11-15 21:17:13,6020.184
2024-11-15 21:17:12,6020.184
2024-11-15 21:17:11,6020.184
2024-11-15 21:17:10,6020.184
2024-11-15 21:17:09,6020.184
2024-11-15 21:17:08,6020.184
2024-11-15 21:17:07,6028.148
2024-11-15 21:17:06,6028.148
2024-11-15 21:17:05,6028.148
2024-11-15 21:17:04,6020.285
2024-11-15 21:17:03,6020.285
2024-11-15 21:17:02,6020.285
2024-11-15 21:17:01,6020.285
2024-11-15 21:17:00,6028.344
2024-11-15 21:16:59,6028.344
2024-11-15 21:16:58,6028.344
2024-11-15 21:16:57,6028.344
2024-11-15 21:16:56,6028.344
2024-11-15 21:16:55,6028.344
2024-11-15 21:16:54,6028.344
