time,received,sent
2024-11-15 21:18:43,0.2152073,-0.4257202
2024-11-15 21:18:42,0.2807927,0
2024-11-15 21:18:41,0,0
2024-11-15 21:18:40,0.2152249,0
2024-11-15 21:18:39,0.2807751,-0.3262859
2024-11-15 21:18:38,0,-0.4257141
2024-11-15 21:18:37,0,-0.3262821
2024-11-15 21:18:36,0,-0.7519773
2024-11-15 21:18:35,0.2984949,-0.6964686
2024-11-15 21:18:34,0.3895051,-0.353272
2024-11-15 21:18:33,0,0
2024-11-15 21:18:32,0,0
2024-11-15 21:18:31,0,0
2024-11-15 21:18:30,0,0
2024-11-15 21:18:29,0.7772084,-0.3955436
2024-11-15 21:18:28,1.0147916,-0.5164564
2024-11-15 21:18:27,0,0
2024-11-15 21:18:26,0,0
2024-11-15 21:18:25,0,0
2024-11-15 21:18:24,0,0
2024-11-15 21:18:23,0,0
2024-11-15 21:18:22,0,-0.3261691
2024-11-15 21:18:21,0,-0.4258309
2024-11-15 21:18:20,0,0
2024-11-15 21:18:19,0,0
2024-11-15 21:18:18,0,0
2024-11-15 21:18:17,0.2984301,-0.2706692
2024-11-15 21:18:16,0.3895699,-0.3533308
2024-11-15 21:18:15,0,0
2024-11-15 21:18:14,0,0
2024-11-15 21:18:13,0,-0.3261771
2024-11-15 21:18:12,0,-0.4258229
2024-11-15 21:18:11,0.2706752,-0.2984368
2024-11-15 21:18:10,0.3533248,-0.3895632
2024-11-15 21:18:09,0,-0.3261171
2024-11-15 21:18:08,0,-0.4258829
2024-11-15 21:18:07,0,-0.8465022
2024-11-15 21:18:06,4.086829,-1.952006
2024-11-15 21:18:05,5.337171,-1.1054921
2024-11-15 21:18:04,0,0
2024-11-15 21:18:03,0,0
2024-11-15 21:18:02,0,0
2024-11-15 21:18:01,0,0
2024-11-15 21:18:00,0,0
2024-11-15 21:17:59,0,0
2024-11-15 21:17:58,0,0
2024-11-15 21:17:57,0,0
2024-11-15 21:17:56,0,0
2024-11-15 21:17:55,0,0
2024-11-15 21:17:54,0,0
2024-11-15 21:17:53,0,0
2024-11-15 21:17:52,0,0
2024-11-15 21:17:51,0,-0.326216
2024-11-15 21:17:50,0,-0.425784
2024-11-15 21:17:49,0,-0.812013
