time,free,used,cached,buffers
2024-11-15 21:18:43,27566.23,2770.781,1707.598,53.87109
2024-11-15 21:18:42,27566.25,2770.758,1707.598,53.87109
2024-11-15 21:18:41,27566.37,2770.645,1707.598,53.87109
2024-11-15 21:18:40,27566.41,2770.566,1707.637,53.87109
2024-11-15 21:18:39,27566.63,2770.352,1707.637,53.86328
2024-11-15 21:18:38,27565.9,2771.082,1707.637,53.86328
2024-11-15 21:18:37,27566.13,2770.852,1707.637,53.86328
2024-11-15 21:18:36,27565.92,2771.059,1707.637,53.86328
2024-11-15 21:18:35,27566.13,2770.852,1707.637,53.86328
2024-11-15 21:18:34,27565.88,2771.098,1707.637,53.86328
2024-11-15 21:18:33,27566.4,2770.582,1707.637,53.86328
2024-11-15 21:18:32,27565.89,2771.09,1707.637,53.86328
2024-11-15 21:18:31,27565.75,2771.445,1707.426,53.86328
2024-11-15 21:18:30,27565.16,2772.094,1707.363,53.86328
2024-11-15 21:18:29,27565.64,2771.484,1707.5,53.85156
2024-11-15 21:18:28,27565.64,2771.484,1707.5,53.85156
2024-11-15 21:18:27,27565.61,2771.52,1707.496,53.85156
2024-11-15 21:18:26,27565.65,2771.605,1707.371,53.85156
2024-11-15 21:18:25,27565.88,2771.383,1707.371,53.85156
2024-11-15 21:18:24,27565.61,2771.656,1707.367,53.85156
2024-11-15 21:18:23,27566.07,2771.188,1707.367,53.85156
2024-11-15 21:18:22,27566.36,2771.027,1707.242,53.85156
2024-11-15 21:18:21,27565.88,2771.637,1707.117,53.85156
2024-11-15 21:18:20,27565.88,2771.637,1707.117,53.85156
2024-11-15 21:18:19,27565.89,2771.562,1707.18,53.84766
2024-11-15 21:18:18,27565.88,2771.582,1707.176,53.84766
2024-11-15 21:18:17,27565.88,2771.582,1707.176,53.84766
2024-11-15 21:18:16,27566.12,2771.34,1707.172,53.84766
2024-11-15 21:18:15,27565.88,2771.711,1707.047,53.84766
2024-11-15 21:18:14,27566.13,2771.461,1707.047,53.84375
2024-11-15 21:18:13,27566.6,2771.121,1706.918,53.84375
2024-11-15 21:18:12,27566.38,2771.336,1706.918,53.84375
2024-11-15 21:18:11,27566.58,2771.141,1706.914,53.84375
2024-11-15 21:18:10,27566.63,2771.219,1706.789,53.84375
2024-11-15 21:18:09,27566.63,2771.16,1706.852,53.83984
2024-11-15 21:18:08,27566.35,2771.438,1706.852,53.83984
2024-11-15 21:18:07,27566.5,2771.41,1706.727,53.83984
2024-11-15 21:18:06,27566.26,2771.656,1706.727,53.83984
2024-11-15 21:18:05,27566.51,2771.402,1706.727,53.83984
2024-11-15 21:18:04,27567,2770.918,1706.727,53.83984
2024-11-15 21:18:03,27567,2770.91,1706.727,53.83984
2024-11-15 21:18:02,27567.01,2770.902,1706.727,53.83984
2024-11-15 21:18:01,27566.02,2772.02,1706.602,53.83984
2024-11-15 21:18:00,27567.26,2772.773,1704.629,53.82031
2024-11-15 21:17:59,27572.18,2772.047,1700.453,53.80078
2024-11-15 21:17:58,27572.2,2772.031,1700.453,53.80078
2024-11-15 21:17:57,27572.17,2772.055,1700.453,53.80078
2024-11-15 21:17:56,27571.4,2772.957,1700.324,53.80078
2024-11-15 21:17:55,27571.4,2772.957,1700.324,53.80078
2024-11-15 21:17:54,27570.7,2773.66,1700.324,53.80078
2024-11-15 21:17:53,27570.36,2774,1700.324,53.80078
2024-11-15 21:17:52,27570.36,2773.992,1700.324,53.80078
2024-11-15 21:17:51,19922.84,10391.75,1730.086,53.80078
2024-11-15 21:17:50,19918.88,10396.105,1729.699,53.80078
2024-11-15 21:17:49,19927.98,10387.191,1729.508,53.80078
2024-11-15 21:17:48,19933.18,10382.133,1729.367,53.80078
2024-11-15 21:17:47,19978,10337.695,1728.984,53.80078
2024-11-15 21:17:46,20004.82,10311.023,1728.836,53.79688
2024-11-15 21:17:45,20014.18,10301.938,1728.57,53.79688
2024-11-15 21:17:44,20021.07,10295.305,1728.312,53.79688
2024-11-15 21:17:43,20030.42,10286.211,1728.055,53.79688
2024-11-15 21:17:42,20064.38,10252.508,1727.797,53.79688
2024-11-15 21:17:41,20072.01,10245.137,1727.539,53.79688
2024-11-15 21:17:40,20084.31,10233.082,1727.289,53.79688
2024-11-15 21:17:39,20096.38,10221.281,1727.023,53.79688
2024-11-15 21:17:38,20106.71,10211.082,1726.895,53.79688
2024-11-15 21:17:37,20129.84,10188.457,1726.387,53.79688
2024-11-15 21:17:36,20140.91,10177.414,1726.355,53.79688
2024-11-15 21:17:35,20147.8,10170.793,1726.086,53.79688
2024-11-15 21:17:34,20152.96,10165.895,1725.836,53.79297
2024-11-15 21:17:33,20158.39,10160.719,1725.574,53.79297
2024-11-15 21:17:32,20164.07,10155.297,1725.32,53.79297
2024-11-15 21:17:31,20168.96,10150.668,1725.059,53.79297
2024-11-15 21:17:30,20174.4,10145.367,1724.922,53.79297
2024-11-15 21:17:29,20179.54,10140.496,1724.664,53.78516
2024-11-15 21:17:28,20184.73,10135.566,1724.402,53.78516
2024-11-15 21:17:27,20190.11,10130.449,1724.137,53.78516
2024-11-15 21:17:26,20202.36,10124.648,1717.719,53.75391
2024-11-15 21:17:25,20207.53,10119.734,1717.465,53.75391
2024-11-15 21:17:24,20212.73,10114.676,1717.328,53.75
2024-11-15 21:17:23,20219.12,10108.531,1717.074,53.75
2024-11-15 21:17:22,20227,10100.914,1716.816,53.75
2024-11-15 21:17:21,20227.52,10100.641,1716.566,53.75
2024-11-15 21:17:20,20231.96,10096.457,1716.312,53.75
2024-11-15 21:17:19,20257.72,10070.961,1716.051,53.75
