time,mtu
2024-11-15 21:18:43,9000
2024-11-15 21:18:42,9000
2024-11-15 21:18:41,9000
2024-11-15 21:18:40,9000
2024-11-15 21:18:39,9000
2024-11-15 21:18:38,9000
2024-11-15 21:18:37,9000
2024-11-15 21:18:36,9000
2024-11-15 21:18:35,9000
2024-11-15 21:18:34,9000
2024-11-15 21:18:33,9000
2024-11-15 21:18:32,9000
2024-11-15 21:18:31,9000
2024-11-15 21:18:30,9000
2024-11-15 21:18:29,9000
2024-11-15 21:18:28,9000
2024-11-15 21:18:27,9000
2024-11-15 21:18:26,9000
2024-11-15 21:18:25,9000
2024-11-15 21:18:24,9000
2024-11-15 21:18:23,9000
2024-11-15 21:18:22,9000
2024-11-15 21:18:21,9000
2024-11-15 21:18:20,9000
2024-11-15 21:18:19,9000
2024-11-15 21:18:18,9000
2024-11-15 21:18:17,9000
2024-11-15 21:18:16,9000
2024-11-15 21:18:15,9000
2024-11-15 21:18:14,9000
2024-11-15 21:18:13,9000
2024-11-15 21:18:12,9000
2024-11-15 21:18:11,9000
2024-11-15 21:18:10,9000
2024-11-15 21:18:09,9000
2024-11-15 21:18:08,9000
2024-11-15 21:18:07,9000
2024-11-15 21:18:06,9000
2024-11-15 21:18:05,9000
2024-11-15 21:18:04,9000
2024-11-15 21:18:03,9000
2024-11-15 21:18:02,9000
2024-11-15 21:18:01,9000
2024-11-15 21:18:00,9000
2024-11-15 21:17:59,9000
2024-11-15 21:17:58,9000
2024-11-15 21:17:57,9000
2024-11-15 21:17:56,9000
2024-11-15 21:17:55,9000
2024-11-15 21:17:54,9000
2024-11-15 21:17:53,9000
2024-11-15 21:17:52,9000
2024-11-15 21:17:51,9000
2024-11-15 21:17:50,9000
2024-11-15 21:17:49,9000
2024-11-15 21:17:48,9000
2024-11-15 21:17:47,9000
2024-11-15 21:17:46,9000
2024-11-15 21:17:45,9000
2024-11-15 21:17:44,9000
2024-11-15 21:17:43,9000
2024-11-15 21:17:42,9000
2024-11-15 21:17:41,9000
2024-11-15 21:17:40,9000
2024-11-15 21:17:39,9000
2024-11-15 21:17:38,9000
2024-11-15 21:17:37,9000
2024-11-15 21:17:36,9000
2024-11-15 21:17:35,9000
2024-11-15 21:17:34,9000
2024-11-15 21:17:33,9000
2024-11-15 21:17:32,9000
2024-11-15 21:17:31,9000
